Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
kaah,Team Leveling,81,"['omen', 'killjoy', 'cypher', 'brimstone', 'viper']",216,0.98,205.3,0.94,67%,130.4,0.72,0.17,0.12,0.10,26%,13%,,,155,165,36,25,22
kachow,Watermelon,146,"['breach', 'jett', 'killjoy', 'kayo', 'sage']",383,0.94,197.2,0.89,68%,136.5,0.67,0.32,0.09,0.13,23%,15%,,,258,289,121,35,49
kaephrodite,Unknown,129,"['killjoy', 'sova', 'chamber', 'viper']",328,1.02,209.5,1.04,70%,136.9,0.70,0.24,0.11,0.09,17%,19%,,,230,222,78,35,28
kaha,Incognito GC,131,"['sova', 'viper', 'skye', 'astra', 'kayo']",1213,1.03,194.4,1.02,72%,128.3,0.69,0.34,0.07,0.08,19%,13%,,,834,819,411,89,99
kalita,revoada,184,"['sova', 'skye', 'viper', 'astra', 'breach']",469,1.06,199.9,1.09,78%,132.2,0.70,0.41,0.09,0.07,25%,27%,,,329,302,193,40,34
kalliqt,BIGG Siren,61,"['killjoy', 'omen', 'sova', 'fade', 'raze']",270,0.71,155.3,0.69,60%,107.4,0.53,0.17,0.06,0.09,21%,7%,,,143,208,45,16,24
kamiyu,Xipto Esports,168,"['jett', 'skye', 'breach', 'sova', 'kayo']",1262,1.12,202.4,1.19,81%,130.8,0.72,0.43,0.07,0.06,29%,17%,,,909,762,543,87,73
karie,oomfies,229,"['killjoy', 'cypher', 'chamber', 'viper', 'gekko']",423,1.04,195.4,1.05,72%,132.2,0.68,0.16,0.07,0.08,22%,11%,,,288,275,66,30,32
karina,FOKUS Sakura,200,"['killjoy', 'cypher', 'sova', 'sage', 'viper']",748,0.94,179.9,0.94,69%,117.9,0.65,0.25,0.06,0.08,32%,16%,,,483,516,185,48,58
karra,Unknown,344,"['skye', 'astra', 'breach', 'sage', 'omen']",908,1.03,182.1,0.98,75%,114.5,0.64,0.48,0.07,0.07,33%,13%,,,582,596,436,65,68
katarina,Unknown,248,"['jett', 'chamber', 'raze', 'reyna']",488,1.07,234.0,1.15,73%,150.5,0.81,0.15,0.15,0.11,26%,17%,,,395,344,73,71,52
katsumi,Unknown,557,"['omen', 'astra', 'viper', 'brimstone', 'killjoy']",506,1.03,193.7,1.07,75%,126.4,0.71,0.30,0.08,0.06,28%,13%,,,358,334,150,41,30
kay,Unknown,205,"['raze', 'jett', 'breach', 'kayo', 'sova']",203,0.98,227.5,1.02,64%,146.7,0.77,0.16,0.23,0.26,28%,15%,,,157,154,33,46,52
kazler,Refrag,256,"['skye', 'sova', 'chamber', 'raze', 'gekko']",216,0.85,185.0,0.80,64%,118.6,0.63,0.40,0.08,0.11,30%,13%,,,135,168,86,18,24
keenc,Unknown,155,"['jett', 'chamber', 'raze', 'killjoy']",884,1.37,291.8,1.53,77%,181.0,1.02,0.19,0.20,0.11,20%,21%,,,903,590,166,180,98
