Player,Team,Games,SignatureAgentsRankedByUsage,RoundsPlayed,Rating,AverageCombatScore,KillsDeath,KAST,ADPR,KPR,APR,FKPR,FDPR,HeadshotPercent,ClutchSuccessPercent,Kills,Deaths,Assists,FirstKills,FirstDeaths,Year,IGL,CleanedRating,AdjustedRating,SelfishIndex,Region_x,Region_y,Region
oranges,Teddy Tactics,125,"['viper', 'killjoy', 'omen', 'cypher', 'astra']",232,0.61,145.8,0.6,60%,104.0,0.51,0.17,0.06,0.17,26%,4%,119,198,40,14,39,2024,False,0.61,0.44,0.38,Americas,Americas,Americas
panchill,Zen eSports GC,89,"['killjoy', 'cypher', 'viper', 'omen']",498,0.91,176.3,0.87,66%,120.5,0.63,0.18,0.06,0.07,29%,15%,313,358,92,32,34,2024,False,0.91,0.76,0.27,GameChangers,GameChangers,GameChangers
patitop,Deagle Ravagers,89,"['killjoy', 'cypher', 'viper']",443,1.21,242.4,1.27,72%,165.9,0.88,0.16,0.12,0.11,33%,17%,388,306,73,52,50,2024,False,1.21,0.99,0.07,GameChangers,GameChangers,GameChangers
petra,G2 Gozen,271,"['sova', 'skye', 'fade', 'breach']",979,1.04,200.0,1.08,75%,133.9,0.69,0.32,0.08,0.1,28%,18%,671,619,311,80,97,2024,False,1.04,0.96,0.33,EMEAS,EMEAS,EMEAS
piety,sisu,133,"['killjoy', 'omen', 'sova', 'viper', 'cypher']",610,1.11,212.4,1.13,73%,141.8,0.74,0.27,0.08,0.04,31%,13%,452,401,163,46,25,2024,False,1.11,0.95,0.23,Pacific,Pacific,Pacific
pigruto,Cardboard Dinosaur,73,"['sova', 'killjoy', 'cypher', 'breach', 'fade']",243,0.53,113.7,0.48,53%,81.9,0.37,0.14,0.04,0.13,21%,8%,91,188,35,9,31,2024,False,0.53,0.39,0.51,GameChangers,GameChangers,GameChangers
pingsong,FENNEL GC,31,"['fade', 'sova', 'skye', 'omen', 'killjoy']",520,0.88,178.6,0.81,70%,116.4,0.6,0.34,0.08,0.07,28%,13%,311,382,179,44,36,2024,False,0.88,0.74,0.47,Pacific,Pacific,Pacific
pinkalie,Zerance Mint,221,"['omen', 'viper', 'breach', 'astra', 'brimstone']",410,1.05,183.8,0.99,79%,118.3,0.66,0.51,0.07,0.06,29%,15%,272,275,208,28,25,2024,False,1.05,0.84,0.62,GameChangers,GameChangers,GameChangers
pink,Scissor Sisters,49,"['raze', 'jett', 'omen', 'kayo']",229,0.82,190.8,0.76,64%,127.7,0.62,0.17,0.11,0.1,26%,10%,142,186,39,25,23,2024,False,0.82,0.6,0.27,GameChangers,GameChangers,GameChangers
poly,sisu,226,"['viper', 'astra', 'omen', 'brimstone']",640,0.99,188.6,0.98,74%,126.2,0.66,0.35,0.07,0.1,31%,19%,424,432,227,44,62,2024,False,0.99,0.86,0.4,Pacific,Pacific,Pacific
ponix,9z Team GC,116,"['killjoy', 'breach', 'sova', 'gekko', 'raze']",1050,1.02,184.9,0.98,74%,123.6,0.66,0.32,0.05,0.06,28%,15%,698,710,340,51,59,2024,False,1.02,0.95,0.36,GameChangers,GameChangers,GameChangers
proxima,BBL Queens,235,"['viper', 'omen', 'skye', 'chamber', 'astra']",747,0.97,183.8,0.98,71%,121.5,0.66,0.3,0.06,0.07,39%,19%,491,502,222,45,51,2024,False,0.97,0.86,0.35,GameChangers,GameChangers,GameChangers
pyro,Infinity X,115,"['viper', 'breach', 'gekko', 'killjoy', 'sova']",291,0.84,171.1,0.75,69%,113.2,0.58,0.35,0.09,0.14,22%,17%,169,224,103,26,40,2024,False,0.84,0.64,0.52,Americas,Americas,Americas
qiqi,Cardboard Dinosaur,37,"['killjoy', 'astra', 'skye', 'viper', 'omen']",204,0.88,183.9,0.91,70%,126.3,0.65,0.23,0.04,0.11,23%,30%,132,145,47,8,22,2024,False,0.88,0.63,0.29,GameChangers,GameChangers,GameChangers
r4m,REIGNITE Lily,69,"['omen', 'viper', 'astra', 'neon']",359,1.01,197.6,0.94,75%,128.6,0.69,0.39,0.07,0.09,23%,17%,248,263,140,24,31,2024,False,1.01,0.79,0.39,Pacific,Pacific,Pacific
raquinuki,FUSION X,100,"['cypher', 'killjoy', 'omen', 'deadlock', 'raze']",1135,0.96,191.6,0.96,67%,130.7,0.68,0.21,0.09,0.09,32%,13%,777,807,234,99,98,2024,False,0.96,0.9,0.25,GameChangers,GameChangers,GameChangers
raven,Teddy Tactics,150,"['viper', 'omen', 'brimstone', 'astra']",411,1.02,188.8,0.97,71%,126.4,0.68,0.34,0.04,0.04,35%,16%,278,286,140,18,17,2024,False,1.02,0.82,0.36,Americas,Americas,Americas
reshi,FiRePOWER,132,"['omen', 'jett', 'brimstone', 'viper', 'raze']",711,0.93,191.2,0.87,67%,127.7,0.66,0.31,0.08,0.08,25%,12%,466,533,217,57,55,2024,False,0.93,0.82,0.35,Americas,Americas,Americas
rezq,G2 Gozen,99,"['raze', 'jett', 'killjoy', 'yoru', 'sage']",979,1.13,257.3,1.28,74%,162.6,0.89,0.2,0.25,0.17,25%,23%,876,687,197,240,161,2024,False,1.13,1.04,0.07,EMEAS,EMEAS,EMEAS
rice,RIMA GC,61,"['skye', 'breach', 'killjoy', 'phoenix', 'omen']",256,0.98,189.6,0.87,72%,124.4,0.63,0.38,0.12,0.09,27%,10%,160,184,96,31,23,2024,False,0.98,0.73,0.48,GameChangers,GameChangers,GameChangers
