Player,Team,Total Games Played,Signature Agents Ranked by Usage,Rounds Played,Rating,Average Combat Score,Kills:Death,"Kill, Assist, Survive, Trade Percent",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot Percent,Clutch Success Percent%,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
water,Peace And Love,92,"['phoenix', 'breach', 'kayo', 'skye', 'gekko']",236,0.73,183.0,0.73,70%,124.7,0.63,0.22,0.15,0.22,26%,45%,,,148,202,51,36,51
wavy,Unknown,125,"['jett', 'kayo', 'breach', 'raze', 'skye']",264,0.86,167.5,0.77,69%,109.5,0.57,0.40,0.06,0.10,21%,14%,,,151,195,106,15,26
wayne,Disguised,117,"['omen', 'killjoy', 'viper', 'jett', 'sova']",982,1.12,217.6,1.15,74%,140.9,0.77,0.30,0.10,0.07,28%,18%,,,756,655,293,100,65
weber,Five Ace Esports,49,"['sova', 'kayo', 'fade', 'skye']",355,0.81,168.4,0.79,64%,114.1,0.59,0.30,0.07,0.11,30%,17%,,,209,263,106,26,40
wedid,Unknown,489,"['omen', 'viper', 'killjoy', 'brimstone']",716,1.03,210.2,0.99,74%,137.3,0.72,0.37,0.08,0.09,28%,13%,,,519,523,265,55,66
welyy,Blue Otter,515,"['sova', 'breach', 'fade', 'skye']",299,1.29,237.7,1.26,73%,161.8,0.82,0.36,0.07,0.05,27%,10%,,,245,195,107,21,14
werlass,Digital Athletics,191,"['kayo', 'viper', 'breach', 'sova', 'skye']",334,1.02,203.4,1.00,74%,131.4,0.68,0.28,0.08,0.10,29%,14%,,,227,227,95,28,32
westside,Unknown,129,"['killjoy', 'jett', 'viper', 'cypher', 'omen']",1207,1.11,205.4,1.19,72%,138.7,0.76,0.18,0.08,0.06,38%,20%,,,914,771,212,97,77
whats-wong,Slice of Life,80,"['sova', 'breach', 'omen', 'brimstone', 'viper']",240,0.77,146.7,0.72,70%,100.3,0.53,0.37,0.04,0.08,24%,13%,,,126,176,89,9,18
whimp,Asmodeus Colosseum,476,"['killjoy', 'sova', 'breach', 'viper', 'skye']",460,0.72,146.6,0.64,63%,97.7,0.51,0.30,0.05,0.09,33%,8%,,,235,366,139,21,42
wild0reoo,Team Secret,206,"['viper', 'raze', 'skye', 'sova', 'jett']",310,0.99,187.3,0.95,74%,124.8,0.65,0.35,0.09,0.09,29%,12%,,,202,212,109,28,27
will,Unknown,450,"['raze', 'jett', 'reyna', 'omen', 'phoenix']",1007,0.95,179.4,0.91,71%,121.0,0.63,0.31,0.07,0.08,21%,14%,,,639,700,313,67,78
